lat,lon,acq_date,evi,air_temp_encoded,wind,humidity,elevation,kbdi,fire
34.422836,-118.049058,2020-09-06,0.4019,15017.5,4.813,18.3,1436.0,401.33,1
40.573912,-122.817898,2020-09-27,0.154,14608.21,3.937,40.7,1022.0,485.86,1
38.421123,-122.863475,2020-09-27,0.4953,14817.5,4.517,51.6,39.0,299.74,1
37.796401,-121.898792,2020-08-18,0.3621,14918.93,4.109,49.4,215.0,337.62,1
34.888335,-123.233113,2020-09-22,0.1146,14571.07,9.25,89.0,0.0,132.99,0
38.536803,-122.770242,2020-08-18,0.3534,15099.64,4.123,35.4,55.0,424.66,1
35.787219,-114.620507,2020-09-21,0.1438,15273.21,5.421,16.9,585.0,355.17,0
40.275055,-118.057481,2020-09-03,0.3861,15026.07,3.144,16.1,1344.0,261.01,0
39.40873,-118.958399,2020-05-17,0.3674,14361.07,7.923,38.0,1363.0,182.35,0
38.22279,-116.517739,2020-09-20,0.1371,14682.5,5.743,20.4,1842.0,237.24,0
38.672071,-122.361928,2020-08-18,0.0697,15188.21,4.101,28.9,377.0,424.66,1
36.020132,-118.602662,2020-09-18,0.3843,14313.93,2.711,34.0,2407.0,296.89,0
34.056906,-117.057398,2020-09-05,0.2728,15121.07,4.154,25.1,952.0,352.46,1
40.021788,-120.758749,2020-08-18,0.2234,14830.36,3.716,35.1,1440.0,434.43,1
34.739892,-114.057484,2020-08-01,0.354,15483.93,6.564,15.1,654.0,420.39,0
35.633135,-117.216426,2020-08-18,0.4765,15333.93,4.504,15.9,1269.0,356.46,0
40.728755,-123.573002,2020-08-17,0.0705,14915.36,3.32,36.4,719.0,522.19,1
39.166904,-115.545676,2020-08-25,0.2841,14832.5,6.464,21.0,2151.0,275.87,0
41.037451,-119.826332,2020-08-04,0.1025,14857.5,5.156,25.0,1500.0,266.65,0
38.762097,-122.678558,2020-08-18,0.389,15111.07,3.744,28.6,728.0,533.85,1
39.247382,-120.526676,2020-09-08,0.4002,14689.64,5.514,25.7,1748.0,498.07,1
34.787883,-114.915295,2020-08-04,0.44,15310.36,5.26,13.7,591.0,375.02,0
38.082141,-122.759597,2020-08-18,0.0707,14729.64,4.86,58.3,187.0,228.21,1
36.87491,-119.215716,2020-09-05,0.3968,15073.21,3.051,39.4,438.0,388.02,1
38.088767,-121.959841,2020-08-18,0.3001,15038.93,7.514,45.3,-2.0,337.62,1
36.91473,-118.091517,2020-09-24,0.2619,14718.93,2.736,17.7,2056.0,240.42,0
36.700518,-122.256135,2020-09-06,0.407,14418.93,9.92,89.0,0.0,133.3,0
40.772012,-122.859203,2020-09-27,0.2412,14670.36,3.961,43.7,962.0,450.09,1
36.457574,-117.790592,2020-08-09,0.2825,14929.64,4.32,15.6,1614.0,355.55,0
38.936677,-121.062942,2020-09-08,0.2119,15082.5,4.851,22.4,486.0,527.6,1
33.951553,-117.036188,2020-09-05,0.1618,15119.64,4.883,34.3,734.0,352.46,1
33.529288,-122.04487,2020-09-30,0.2497,14623.21,8.641,84.3,0.0,142.7,0
38.64239,-122.756775,2020-08-18,0.1805,15118.93,4.449,32.9,143.0,424.66,1
41.205201,-123.357261,2020-08-17,0.3451,14775.36,3.363,35.7,1438.0,534.38,1
38.719703,-119.617624,2020-04-25,0.1139,14030.36,3.583,60.6,2239.0,10.38,0
39.478609,-123.069477,2020-08-17,0.3454,14803.93,3.314,27.9,1598.0,505.88,1
36.952362,-119.405807,2020-09-05,0.467,15078.21,3.096,27.3,635.0,388.02,1
39.503643,-120.706095,2020-08-18,0.3602,14808.93,4.26,32.0,1608.0,473.94,1
37.770493,-121.8614,2020-08-18,0.4423,14996.07,5.039,44.9,227.0,337.62,1
